ISBN,TITLE,QUANTITY,DESCRIPTION,AUTHOR,PUBLISHER,PUBLISHED,PUBLISHED_YEAR,PAGES,LANGUAGE,LOCATION,DATE,CATEGORY
9780901689863,Advices & Queries,2,,,Britain Yearly Meeting,1995-01-01,1995,24,English,Unknown,2022-09-04 13:27:50,
9789768142481,Beyond the Growth Dilemma,1,"Beyond the Growth Dilemma builds a framework for the changes that are needed for an ecologically integrated economy. Our society's basic goal must change from ""more"" to ""enough."" Changes in the way we earn our livelihoods, organize and carry out production, and govern the commons are all discussed. --Publisher's description.",,Produccicones de La Hamaca,2012-10-01,2012,118,English,Unknown,2022-09-04 13:28:46,
9781907123139,Celebrating the Quaker Way,1,"This pocket-sized book celebrates the Quaker way and affirms the wonderful riches of the Quaker tradition in Britain, and the Quaker 'Liberal tradition' more widely. It is a book for Quakers rather than about them. It talks of 'us' and 'we' and is for 'insiders'. It is a devotional book, for us.",Ben Pink Dandelion,Quaker Press,2019-10-01,2019,34,English,"45.4849607, -73.5855888",2022-09-04 13:23:57,
9780852453827,Conflict in Meetings,1,,,,2005-01-01,2005,82,English,"45.4849607, -73.5855888",2022-09-04 13:25:29,
9780944350676,Engaging Scripture,1,,,,2005-01-01,2005,123,English,"45.4849607, -73.5855888",2022-09-04 13:24:18,
978-0-9688074-2-2,Faith and Practice,3,,Canadian Yearly Meeting,Canadian Yearly Meeting,2011-01-01,2011,250,English,Unknown,2022-07-17 13:56:29,
9780195101171,First Among Friends,1,It was this same sense of perseverance that helped the Quakers survive - the only religious sect of the era still existing today.,H. Larry Ingle,Oxford University Press on Demand,1996-01-01,1996,407,English,"45.4849607, -73.5855888",2022-09-04 13:24:33,
9781888305715,Grounded in God,1,,,Quaker Pressof Friends General,2002-04-01,2002,288,English,"45.4849607, -73.5855888",2022-09-04 12:58:37,
9789768142283,"How on Earth Do We Live Now? Natural Capital, Deep Ecology and the Commons",1,"This pamphlet takes up the question, ""how on Earth do we live now?"" as both a cry of alarm and a call to action, through the lenses of ""natural capital"" and ""deep ecology."" In the course of this study, the commons emerged as a third point of reference. This study explores two essential parts of Earth's commons: property and water. It continues with a close look at systems of governance for the commons, and a new look at human nature's capacity for cooperative, collaborative action on behalf of the common good. The pamphlet concludes by considering what Quakers, and all others who place a high value on the ethics of right relationship, can bring to the task of rebuilding environmental integrity and advancing social equity at home and worldwide.",,Produccicones de La Hamaca,2011-05-01,2011,92,English,"45.4849064, -73.5854688",2022-09-04 12:55:41,
9782850765414,"La Lumière Intérieure, Source De Vie",1,,Robert Barclay,,1993-01-01,1993,415,French,"45.4849607, -73.5855888",2022-09-04 13:24:10,
9781937768027,Letters to a Fellow Seeker,1,"In seven letters to a fictional correspondent, Steve Chase describes his spiritual journey among Quakers. The writer introduces the Quaker way to a newcomer in language that is personal and gentle, while offering powerful inspiration through stories.",Steve Chase,Quakerpress of Fgc,2012-01-01,2012,98,English,"45.4849607, -73.5855888",2022-09-04 12:58:17,
9780712670203,Listening to the Light,2,"LISTENING TO THE LIGHT gives a fascinating insight into the Quaker experience of practical mysticism but, much more than that, it shows why so many ordinary people have felt so inspired by this enduring faith--and how we, too, can incorporate the very best of its ideas and practices into our lives. Accessible and full of widsom, this is a book to return to again and again when we need to remind ourselves there is a better way to live--and how to do it.",,Random House,1999-01-01,1999,192,English,Unknown,2022-09-04 13:28:27,
9781895686685,"Muriel Duckworth, a Very Active Pacifist",1,"""Muriel is an extraordinary woman whose life and work has enriched many-through her faith and her practice. A feminist, a pacifist and a compassionate Canadian, her life is an example of what love and selfless intelligence can do.""-Ursula M. Franklin C.C. FRSC",MW Belfry,"Halifax, N.S. : Fernwood",1996-01-01,1996,239,English,Unknown,2022-09-04 13:32:30,
9781572493483,My American Eden,1,"Outlines the sacrifice of New England's rebel saint, Mary Dyer, a woman who defined the character of the new world when she said that without freedom, her life was not worth living.",,White Mane Publishing Company,2003-01-01,2003,208,English,"45.4849607, -73.5855888",2022-09-04 13:26:34,
9781850723646,Quakerism,1,,,,2007-01-01,2007,198,English,"45.4849607, -73.5855888",2022-09-04 13:25:52,
9780367191627,Quakerism,2,"""Quakerism: The Basics is an accessible and engaging introduction to the history and diverse approaches and ideas associated with The Religious Society of Friends. This small religion incorporates a wide geographic spread and varied beliefs that range from evangelical Christians to non-theists. Topics covered include: Quaker values in action The first generations of Quakerism Quakerism in the eighteenth and nineteenth centuries Belief and activism Worship and practice Quakerism around the world The future of Quakerism. With helpful features including, suggested readings, timelines, a glossary, and a guide to Quakers in fiction, this book is an ideal starting point for students and scholars approaching Quakerism for the first time as well as those interested in deepening their understanding""--",,,2020-12-15,2020,192,English,Unknown,2022-09-04 13:28:37,
9780977951116,Quakers and the Search for Peace,1,"Drawn from the rich archives of Friends Journal, this book illuminates the many aspects of Friends' most central and most public spiritual testimony: a search for peace. This book is an invaluable resource for those who wish to explore the Quaker peace experience and to better understand and develop their own personal calling for peace. With a careful selection of material approaching peace from many philosophical and practical angles, Quakers and the Search for Peace will serve as a guide not only for Quakers and their meetings and churches, but for readers of all faith traditions who yearn for a more peaceful world. Students and newcomers to Quakerism will find a diverse and compelling introduction to the Quaker religion in modern practice.",Sharon Hoover,"Friends Publishing, Incorporated",2010-08-01,2010,170,English,"45.4849607, -73.5855888",2022-09-04 13:24:54,
9780852453292,Quality and Depth of Worship and Ministry,1,,,,2001-01-01,2001,44,English,"45.4849768, -73.5854284",2022-09-18 13:24:22,"Ministry, spiritual"
9781570754487,Radical Gratitude,1,"The author helps readers break the ""vicious dissatisfaction"" with life, so that they may develop an energizing gratitude that enables them to deeply appreciate and enjoy family, community, simple pleasures, and themselves. Original.",Mary Jo Leddy,"Maryknoll, N.Y. : Orbis Books",2002-01-01,2002,182,English,"45.4849607, -73.5855888",2022-09-04 13:25:02,
9780944350966,Radicalizing Spirit,1,,Jeffrey Dudiak,,2015-10-13,2015,120,English,Unknown,2022-07-17 10:56:22,
9780875744223,Reclaiming the Transcendent,1,"God is commonly imagined as a supreme Being, acting from afar to influence events in the world. For many people today, this image of God has become unbelievable. Tom Gates presents process theology as another way of understanding God that is more congruent with a scientific worldview, as well as with the biblical witness and with the understanding of early Friends. He invites readers to ""reclaim the Transcendent"" through a vision of God that is less like a King and more like an energy field, constantly but imperceptibly nudging us toward True North, less like a puppeteer and more like an inner yearning toward future possibilities of beauty and harmony.",,,2013-06-05,2013,36,English,"45.4849816, -73.5853992",2022-09-18 13:21:12,
9781480331891,Rise Again!,1,"(Vocal). Not your average fake book Great for musicians, camps, teachers or for singing with family and friends. This songbook is a treasure trove of well-loved songs from blues, country, jazz and Motown to composed folk, traditional ballads, gospel and rounds. Using the same unique format as the editors' bset-selling songbook, Rise Up Singing, Rise Again provides easy access to 1200 important songs in a compact, affordable collection. Including extensive liner notes and well-organized indices, this is an important resource for anyone who loves music.","Annie Patterson, Peter Blood",,2015-09-01,2015,288,English,"45.4849775, -73.5854189",2022-09-18 12:32:37,Music
9780852453056,Searching the Depths,1,,,,1998-01-01,1998,110,English,"45.4849607, -73.5855888",2022-09-04 13:26:25,
9780945177210,Shaggy Locks & Birkenstocks,1,,,,2003-01-01,2003,123,English,"45.4849607, -73.5855888",2022-09-04 13:25:42,
9780956224576,Signposts,1,,,,2013-01-01,2013,68,English,Unknown,2022-09-04 13:32:07,
9781550922691,Simplicity,1,,,"Gabriola Island, B.C. : New Society Publishers",1995-01-01,1995,130,English,Unknown,2022-09-04 13:29:04,
9780978452803,Stepping Lightly,2,,,,2007-08-01,2007,204,English,"45.4849607, -73.5855888",2022-09-04 13:27:33,
9780945177203,"The Harlot's Bible and Other Quaker Essays, 1996-2002",1,,,,2003-01-01,2003,152,English,"45.4849607, -73.5855888",2022-09-04 13:27:09,
9780944350102,The Journal and Major Essays of John Woolman,1,"In the latter part of the eighteenth century, the Quaker minister John Woolman journeyed and preached throughout the American colonies. His Journal, a recognized American classic, portrays an ethical sensitivity comparable to St. Francis or Albert Schweitzer; and his keen sense of social injustice speaks directly to our affluent and increasingly divided mass society. Woolman's essays widely influenced social thought in the United States, and in England as well, where he was esteemed by Lamb and Coleridge. This edition of the Journal includes Woolman's whole discussion of tax refusal as a form of anti-war protest and civil disobedience. Also included are ""A Plea for the Poor"" and ""Considerations on Keeping Negroes"" one of the earliest attacks on slavery.",,Friends United Press,1971-01-01,1971,336,English,"45.4849607, -73.5855888",2022-09-04 13:24:43,
9781879117167,The Quaker Bible Reader,1,"Thirteen Quakers look at portions of Scripture, describe what they find, and how they found it in order to encourage every Friend to engage the Bible ."" . . by entering into a dialogue with this ancient book, exploring your own assumptions about God, and deepening your relationship with the divine.""",,Earlham College Bookstore,2006-02-01,2006,312,English,"45.4849607, -73.5855888",2022-09-04 13:27:23,
9780199206797,The Quakers: a Very Short Introduction,1,"The Quakers are a fascinating religious group both in their origins and in the variety of reinterpretations of the faith since. This Very Short Introduction charts the history of Quakerism and its present-day diversity, and outlines its approach to worship, belief, theology and language, and ecumenism.",Ben Pink Dandelion,Oxford University Press,2008-02-28,2008,142,English,Unknown,2022-07-17 13:54:06,
9780993672538,Tracking Down Ecological Guidance,1,"Tracking Down Ecological Guidance is a road map to an emerging worldview. For several centuries the effect of the industrial revolution has been to reinforce the cultural assumption that Earth is just a storehouse of raw materials for human use, and the faster these resources are exploited the better off the human species will be. This exploitive worldview is failing; it no longer provides believable guidance for the human future. The ecological worldview now emerging is focused on what kind of readaptation makes sense given what is known about how Earth's ecosystems actually work. The essays gathered in Tracking Down Ecological Guidance compose a panorama of the author's engagement with the trajectories of culture and economic behaviour over the past fifty years. While the conflict between the growth economy and ecosystem integrity is central to the book, it is also focused on the means of ""spiritual survival"" - the ability to keep working for human betterment and environmental integrity despite the worst that may happen. As the failed adaptation of the industrial-consumer era plays out, the rise of an alternative, ecologically integrated economy becomes essential for human wellbeing. This book charts a journey through the ""storm of progress"" to an ecological worldview anchored in beauty and expressed in ""right relationship"" to our home places, and to the whole Earth. The book moves beyond the temptation of fatalism to a strategy for enhancing both economic and spiritual survival. Keith Helmuth is a founding member of Quaker Institute for the Future, and a co-author of Right Relationship: Building a Whole Earth Economy. He lives in Woodstock, New Brunswick where he now coordinates a community garden project.",,,2015-03-01,2015,272,English,Unknown,2022-09-04 13:51:12,
9780954345938,Twelve Quakers and Pacifism,1,,Quaker Quest,Britain Yearly Meeting,2005-01-01,2005,36,English,"45.4849009, -73.5854890",2022-09-04 12:56:32,
9780954345921,Twelve Quakers and Worship,1,,Quaker Quest,Britain Yearly Meeting,2004-01-01,2004,32,English,"45.4848576, -73.5854995",2022-09-04 12:56:05,
9780875744209,Waging Peace,1,"In a world of conflict, Pamela Haines calls for the development of skills to wage peace and an ""army of nonviolent warriors."" Here she offers readers a window into how to become nonviolent warriors through practices that show us how to hope, grieve, listen, welcome conflict, mend, speak truth, and cultivate courage. Engaging stories bring these practices to life and show that by working together we can transform ourselves, our community, and our world.",,,2012-12-05,2012,35,English,"45.4849461, -73.5854284",2022-09-18 13:21:06,
